commodity,arrival_date,min_price,max_price,modal_price,latitude,longitude
Mango (Raw-Ripe),738650,750,1400.0,1000,23.235737,72.671374
Mango (Raw-Ripe),738651,800,1100.0,1000,23.235737,72.671374
Mango (Raw-Ripe),738652,1000,1100.0,1050,23.235737,72.671374
Mango (Raw-Ripe),738653,1000,1500.0,1250,23.235737,72.671374
Mango (Raw-Ripe),738655,1000,1000.0,1000,23.235737,72.671374
Mango (Raw-Ripe),738656,1000,1500.0,1250,23.235737,72.671374
Mango (Raw-Ripe),738657,1000,1000.0,1000,23.235737,72.671374
Mango (Raw-Ripe),738658,800,1000.0,900,23.235737,72.671374
Mango (Raw-Ripe),738660,1000,1200.0,1100,23.235737,72.671374
Mango (Raw-Ripe),738663,700,1250.0,1000,23.235737,72.671374
Mango (Raw-Ripe),738522,9000,12500.0,10750,21.205128,72.847119
Mango (Raw-Ripe),738524,9000,12000.0,10500,21.205128,72.847119
Mango (Raw-Ripe),738525,10000,13000.0,11500,21.205128,72.847119
Mango (Raw-Ripe),738526,10000,12500.0,11250,21.205128,72.847119
Mango (Raw-Ripe),738527,10000,13000.0,11500,21.205128,72.847119
Mango (Raw-Ripe),738529,8500,11000.0,9750,21.205128,72.847119
Mango (Raw-Ripe),738532,8500,11000.0,9750,21.205128,72.847119
Mango (Raw-Ripe),738533,8500,11000.0,9750,21.205128,72.847119
Mango (Raw-Ripe),738536,12500,15000.0,13750,21.205128,72.847119
Mango (Raw-Ripe),738540,8500,15000.0,11750,21.205128,72.847119
Mango (Raw-Ripe),738541,12500,15000.0,13750,21.205128,72.847119
Mango (Raw-Ripe),738543,12500,15000.0,13750,21.205128,72.847119
Mango (Raw-Ripe),738544,12500,15000.0,13750,21.205128,72.847119
Mango (Raw-Ripe),738545,10000,12000.0,11000,21.205128,72.847119
Mango (Raw-Ripe),738547,7000,10000.0,8500,21.205128,72.847119
Mango (Raw-Ripe),738548,7000,10000.0,8500,21.205128,72.847119
Mango (Raw-Ripe),738553,5000,7000.0,6000,21.205128,72.847119
Mango (Raw-Ripe),738554,5500,7000.0,6250,21.205128,72.847119
Mango (Raw-Ripe),738555,6000,7000.0,6500,21.205128,72.847119
Mango (Raw-Ripe),738557,6000,7000.0,6500,21.205128,72.847119
Mango (Raw-Ripe),738558,5000,7000.0,6000,21.205128,72.847119
Mango (Raw-Ripe),738559,5000,6500.0,5750,21.205128,72.847119
Mango (Raw-Ripe),738560,5500,6500.0,6000,21.205128,72.847119
Mango (Raw-Ripe),738561,5500,7000.0,6250,21.205128,72.847119
Mango (Raw-Ripe),738562,5500,7500.0,6500,21.205128,72.847119
Mango (Raw-Ripe),738564,4500,5500.0,5000,21.205128,72.847119
Mango (Raw-Ripe),738565,4500,5500.0,5000,21.205128,72.847119
Mango (Raw-Ripe),738566,4500,6000.0,5250,21.205128,72.847119
Mango (Raw-Ripe),738567,4000,5000.0,4500,21.205128,72.847119
Mango (Raw-Ripe),738568,3500,5000.0,4250,21.205128,72.847119
Mango (Raw-Ripe),738571,4000,5000.0,4500,21.205128,72.847119
