commodity,arrival_date,min_price,max_price,modal_price,latitude,longitude
Elephant Yam (Suran),738522,1500.0,1800.0,1650,21.205128,72.847119
Elephant Yam (Suran),738523,1500.0,1800.0,1650,21.205128,72.847119
Elephant Yam (Suran),738524,1600.0,2000.0,1800,21.205128,72.847119
Elephant Yam (Suran),738525,1600.0,2000.0,1800,21.205128,72.847119
Elephant Yam (Suran),738526,1750.0,2000.0,1875,21.205128,72.847119
Elephant Yam (Suran),738527,1750.0,2000.0,1875,21.205128,72.847119
Elephant Yam (Suran),738529,1700.0,2000.0,1850,21.205128,72.847119
Elephant Yam (Suran),738532,2000.0,2300.0,2150,21.205128,72.847119
Elephant Yam (Suran),738533,1750.0,2250.0,2000,21.205128,72.847119
Elephant Yam (Suran),738536,2000.0,2400.0,2200,21.205128,72.847119
Elephant Yam (Suran),738540,2000.0,2300.0,2150,21.205128,72.847119
Elephant Yam (Suran),738541,2000.0,2300.0,2150,21.205128,72.847119
Elephant Yam (Suran),738543,2250.0,2500.0,2375,21.205128,72.847119
Elephant Yam (Suran),738544,2100.0,2500.0,2300,21.205128,72.847119
Elephant Yam (Suran),738545,2100.0,2500.0,2300,21.205128,72.847119
Elephant Yam (Suran),738547,2100.0,2500.0,2300,21.205128,72.847119
Elephant Yam (Suran),738548,2000.0,2500.0,2250,21.205128,72.847119
Elephant Yam (Suran),738553,2250.0,2500.0,2375,21.205128,72.847119
Elephant Yam (Suran),738554,2250.0,2750.0,2500,21.205128,72.847119
Elephant Yam (Suran),738555,2250.0,2600.0,2425,21.205128,72.847119
Elephant Yam (Suran),738557,2000.0,2500.0,2250,21.205128,72.847119
Elephant Yam (Suran),738558,2000.0,2500.0,2250,21.205128,72.847119
Elephant Yam (Suran),738559,2000.0,2500.0,2250,21.205128,72.847119
Elephant Yam (Suran),738560,2250.0,2750.0,2500,21.205128,72.847119
Elephant Yam (Suran),738561,2250.0,2750.0,2500,21.205128,72.847119
Elephant Yam (Suran),738562,2250.0,2750.0,2500,21.205128,72.847119
Elephant Yam (Suran),738564,2250.0,2750.0,2500,21.205128,72.847119
Elephant Yam (Suran),738566,2250.0,2750.0,2500,21.205128,72.847119
Elephant Yam (Suran),738567,2250.0,2750.0,2500,21.205128,72.847119
Elephant Yam (Suran),738568,2250.0,2750.0,2500,21.205128,72.847119
Elephant Yam (Suran),738571,2500.0,3000.0,2750,21.205128,72.847119
Elephant Yam (Suran),738572,2500.0,3000.0,2750,21.205128,72.847119
Elephant Yam (Suran),738573,2500.0,3000.0,2750,21.205128,72.847119
Elephant Yam (Suran),738574,2500.0,3000.0,2750,21.205128,72.847119
Elephant Yam (Suran),738575,2500.0,3000.0,2750,21.205128,72.847119
Elephant Yam (Suran),738576,2500.0,3000.0,2750,21.205128,72.847119
Elephant Yam (Suran),738578,1500.0,3000.0,2250,21.205128,72.847119
Elephant Yam (Suran),738579,2500.0,3000.0,2750,21.205128,72.847119
Elephant Yam (Suran),738581,2500.0,3000.0,2750,21.205128,72.847119
Elephant Yam (Suran),738582,2500.0,3000.0,2750,21.205128,72.847119
Elephant Yam (Suran),738585,2500.0,3000.0,2750,21.205128,72.847119
Elephant Yam (Suran),738586,2500.0,3000.0,2750,21.205128,72.847119
Elephant Yam (Suran),738588,2500.0,3000.0,2750,21.205128,72.847119
Elephant Yam (Suran),738589,2500.0,3500.0,3000,21.205128,72.847119
Elephant Yam (Suran),738590,3000.0,3500.0,3250,21.205128,72.847119
Elephant Yam (Suran),738592,3000.0,3800.0,3400,21.205128,72.847119
Elephant Yam (Suran),738593,3500.0,4000.0,3750,21.205128,72.847119
Elephant Yam (Suran),738595,3500.0,4000.0,3750,21.205128,72.847119
Elephant Yam (Suran),738596,3500.0,4000.0,3750,21.205128,72.847119
Elephant Yam (Suran),738597,3500.0,4000.0,3750,21.205128,72.847119
Elephant Yam (Suran),738600,3500.0,4000.0,3750,21.205128,72.847119
Elephant Yam (Suran),738601,3250.0,4000.0,3625,21.205128,72.847119
Elephant Yam (Suran),738602,3000.0,4000.0,3500,21.205128,72.847119
Elephant Yam (Suran),738603,3000.0,4000.0,3500,21.205128,72.847119
Elephant Yam (Suran),738604,1600.0,3500.0,2550,21.205128,72.847119
Elephant Yam (Suran),738607,3000.0,4000.0,3500,21.205128,72.847119
Elephant Yam (Suran),738608,3500.0,4000.0,3750,21.205128,72.847119
Elephant Yam (Suran),738610,3500.0,3800.0,3650,21.205128,72.847119
