commodity,arrival_date,min_price,max_price,modal_price,latitude,longitude
Black Gram Dal (Urd Dal),20/03/2023,8000.0,8000.0,8000,0.0,0.0
Black Gram Dal (Urd Dal),21/03/2023,7000.0,7000.0,7000,0.0,0.0
Black Gram Dal (Urd Dal),30/08/2023,4500.0,4500.0,4500,0.0,0.0
Black Gram Dal (Urd Dal),13/09/2023,8000.0,9115.0,8950,0.0,0.0
Black Gram Dal (Urd Dal),10/10/2023,7250.0,9040.0,8250,0.0,0.0
Black Gram Dal (Urd Dal),25/09/2023,7500.0,9055.0,8500,23.845103,72.111466
Black Gram Dal (Urd Dal),28/09/2023,4000.0,8500.0,7500,23.845103,72.111466
Black Gram Dal (Urd Dal),30/09/2023,7000.0,9500.0,8500,23.845103,72.111466
Black Gram Dal (Urd Dal),03/10/2023,4000.0,5000.0,4500,23.845103,72.111466
Black Gram Dal (Urd Dal),04/10/2023,4000.0,8775.0,6000,23.845103,72.111466
Black Gram Dal (Urd Dal),06/10/2023,5000.0,9000.0,7500,23.845103,72.111466
Black Gram Dal (Urd Dal),09/10/2023,4500.0,7500.0,7000,23.845103,72.111466
Black Gram Dal (Urd Dal),10/10/2023,4500.0,8500.0,6000,23.845103,72.111466
Black Gram Dal (Urd Dal),11/10/2023,5000.0,7500.0,6000,23.845103,72.111466
Black Gram Dal (Urd Dal),12/10/2023,5000.0,7500.0,6500,23.845103,72.111466
Black Gram Dal (Urd Dal),13/10/2023,4500.0,6500.0,5500,23.845103,72.111466
Black Gram Dal (Urd Dal),14/10/2023,4500.0,6000.0,5500,23.845103,72.111466
Black Gram Dal (Urd Dal),16/10/2023,5000.0,6750.0,6000,23.845103,72.111466
Black Gram Dal (Urd Dal),17/10/2023,5000.0,6750.0,6000,23.845103,72.111466
Black Gram Dal (Urd Dal),18/10/2023,5500.0,7555.0,6500,23.845103,72.111466
Black Gram Dal (Urd Dal),19/10/2023,5000.0,9055.0,6000,23.845103,72.111466
Black Gram Dal (Urd Dal),20/10/2023,6000.0,9250.0,7000,23.845103,72.111466
Black Gram Dal (Urd Dal),21/10/2023,4500.0,8000.0,7000,23.845103,72.111466
Black Gram Dal (Urd Dal),25/10/2023,6500.0,9000.0,8000,23.845103,72.111466
