commodity,arrival_date,min_price,max_price,modal_price,latitude,longitude
Coffee,22/05/2023,21000,22000,22000,9.900515,77.176271
Coffee,24/05/2023,21500,22000,22000,9.900515,77.176271
Coffee,26/05/2023,1000,2000,1500,9.900515,77.176271
Coffee,09/06/2023,22000,22000,22000,9.900515,77.176271
Coffee,10/06/2023,22000,22800,22000,9.900515,77.176271
Coffee,12/06/2023,22000,23100,22500,9.900515,77.176271
Coffee,13/06/2023,22000,23100,22600,9.900515,77.176271
Coffee,17/06/2023,22000,23500,23000,9.900515,77.176271
Coffee,20/06/2023,22000,23500,23000,9.900515,77.176271
Coffee,22/06/2023,22000,23000,22800,9.900515,77.176271
Coffee,01/07/2023,22000,23200,22500,9.900515,77.176271
Coffee,03/07/2023,22000,22800,22000,9.900515,77.176271
Coffee,04/07/2023,22000,23200,22600,9.900515,77.176271
Coffee,05/07/2023,22000,23100,22800,9.900515,77.176271
Coffee,06/07/2023,22000,23100,22500,9.900515,77.176271
Coffee,17/07/2023,22500,23000,23000,9.900515,77.176271
Coffee,18/07/2023,23000,23000,23000,9.900515,77.176271
Coffee,19/07/2023,23000,23000,23000,9.900515,77.176271
Coffee,20/07/2023,23000,23000,23000,9.900515,77.176271
Coffee,01/08/2023,21500,23000,22500,9.900515,77.176271
Coffee,03/08/2023,21000,23000,22500,9.900515,77.176271
Coffee,15/08/2023,22000,23400,23000,9.900515,77.176271
Coffee,18/08/2023,22000,23500,23000,9.900515,77.176271
Coffee,25/08/2023,22000,23400,23000,9.900515,77.176271
Coffee,03/11/2023,22000,23500,23000,9.900515,77.176271
Coffee,04/11/2023,23000,23500,23500,9.900515,77.176271
Coffee,02/01/2023,15900,16000,16000,11.606117,76.088347
Coffee,03/01/2023,15900,16000,16000,11.606117,76.088347
Coffee,04/01/2023,15600,15700,15700,11.606117,76.088347
Coffee,07/01/2023,15900,16000,16000,11.606117,76.088347
Coffee,08/01/2023,15700,15800,15800,11.606117,76.088347
Coffee,09/01/2023,15900,16000,16000,11.606117,76.088347
Coffee,10/01/2023,15900,16000,16000,11.606117,76.088347
Coffee,11/01/2023,15900,16000,16000,11.606117,76.088347
Coffee,12/01/2023,15900,16000,16000,11.606117,76.088347
Coffee,13/01/2023,15900,16000,16000,11.606117,76.088347
Coffee,14/01/2023,15900,16000,16000,11.606117,76.088347
Coffee,16/01/2023,16100,16200,16200,11.606117,76.088347
Coffee,17/01/2023,16100,16200,16200,11.606117,76.088347
Coffee,18/01/2023,16000,16100,16100,11.606117,76.088347
Coffee,19/01/2023,16100,16200,16200,11.606117,76.088347
Coffee,20/01/2023,16200,16300,16300,11.606117,76.088347
Coffee,21/01/2023,16200,16300,16300,11.606117,76.088347
Coffee,22/01/2023,16200,16300,16300,11.606117,76.088347
Coffee,23/01/2023,16200,16300,16300,11.606117,76.088347
Coffee,24/01/2023,16100,16200,16200,11.606117,76.088347
Coffee,25/01/2023,16100,16200,16200,11.606117,76.088347
Coffee,26/01/2023,16200,16300,16300,11.606117,76.088347
Coffee,27/01/2023,16200,16300,16300,11.606117,76.088347
Coffee,28/01/2023,16300,16400,16400,11.606117,76.088347
Coffee,29/01/2023,16300,16400,16400,11.606117,76.088347
Coffee,30/01/2023,16700,16800,16800,11.606117,76.088347
Coffee,31/01/2023,16700,16800,16800,11.606117,76.088347
Coffee,01/02/2023,17100,17200,17200,11.606117,76.088347
Coffee,02/02/2023,17200,17300,17300,11.606117,76.088347
Coffee,03/02/2023,17600,17700,17700,11.606117,76.088347
Coffee,04/02/2023,17600,17700,17700,11.606117,76.088347
Coffee,06/02/2023,17700,17800,17800,11.606117,76.088347
Coffee,07/02/2023,17700,17800,17800,11.606117,76.088347
Coffee,08/02/2023,17700,17800,17800,11.606117,76.088347
Coffee,09/02/2023,17700,17800,17800,11.606117,76.088347
Coffee,10/02/2023,17700,17800,17800,11.606117,76.088347
Coffee,11/02/2023,17900,18000,18000,11.606117,76.088347
Coffee,13/02/2023,17800,17900,17900,11.606117,76.088347
Coffee,14/02/2023,18100,18200,18200,11.606117,76.088347
Coffee,15/02/2023,18200,18300,18300,11.606117,76.088347
Coffee,16/02/2023,18300,18400,18400,11.606117,76.088347
Coffee,17/02/2023,18400,18500,18500,11.606117,76.088347
Coffee,20/02/2023,18400,18500,18500,11.606117,76.088347
Coffee,21/02/2023,18700,18800,18800,11.606117,76.088347
Coffee,22/02/2023,18800,18900,18900,11.606117,76.088347
Coffee,23/02/2023,19300,19400,19400,11.606117,76.088347
Coffee,24/02/2023,19200,19300,19300,11.606117,76.088347
Coffee,25/02/2023,19900,20000,20000,11.606117,76.088347
Coffee,27/02/2023,19900,20000,20000,11.606117,76.088347
Coffee,28/02/2023,11900,12000,12000,11.606117,76.088347
Coffee,01/03/2023,20100,20200,20200,11.606117,76.088347
Coffee,02/03/2023,20100,20200,20200,11.606117,76.088347
Coffee,03/03/2023,20100,20200,20200,11.606117,76.088347
Coffee,04/03/2023,20200,20300,20300,11.606117,76.088347
