commodity,arrival_date,min_price,max_price,modal_price,latitude,longitude
Papaya,02/01/2023,3850.0,4200.0,4000.0,24.749745,84.379225
Papaya,02/01/2023,3650.0,3800.0,3700.0,24.749745,84.379225
Papaya,02/01/2023,3500.0,3600.0,3550.0,24.749745,84.379225
Papaya,05/01/2023,3600.0,3700.0,3650.0,24.749745,84.379225
Papaya,05/01/2023,3400.0,3500.0,3450.0,24.749745,84.379225
Papaya,05/01/2023,3250.0,3400.0,3300.0,24.749745,84.379225
Papaya,08/01/2023,4000.0,4100.0,4050.0,24.749745,84.379225
Papaya,08/01/2023,3600.0,3700.0,3650.0,24.749745,84.379225
Papaya,08/01/2023,3350.0,3500.0,3400.0,24.749745,84.379225
Papaya,11/01/2023,3450.0,3600.0,3500.0,24.749745,84.379225
Papaya,11/01/2023,3400.0,3600.0,3450.0,24.749745,84.379225
Papaya,11/01/2023,3200.0,3400.0,3250.0,24.749745,84.379225
Papaya,15/01/2023,4000.0,4200.0,4050.0,24.749745,84.379225
Papaya,15/01/2023,3650.0,3800.0,3700.0,24.749745,84.379225
Papaya,15/01/2023,3500.0,3600.0,3550.0,24.749745,84.379225
Papaya,18/01/2023,3850.0,4000.0,3900.0,24.749745,84.379225
Papaya,18/01/2023,3500.0,3600.0,3550.0,24.749745,84.379225
Papaya,18/01/2023,3250.0,3400.0,3300.0,24.749745,84.379225
Papaya,21/01/2023,3500.0,3650.0,3600.0,24.749745,84.379225
Papaya,21/01/2023,3400.0,3450.0,3450.0,24.749745,84.379225
Papaya,21/01/2023,3250.0,3400.0,3300.0,24.749745,84.379225
Papaya,24/01/2023,3750.0,4000.0,3800.0,24.749745,84.379225
Papaya,24/01/2023,3600.0,3800.0,3750.0,24.749745,84.379225
Papaya,24/01/2023,3450.0,3550.0,3500.0,24.749745,84.379225
Papaya,27/01/2023,3550.0,3650.0,3600.0,24.749745,84.379225
Papaya,27/01/2023,3450.0,3550.0,3500.0,24.749745,84.379225
Papaya,27/01/2023,3200.0,3350.0,3250.0,24.749745,84.379225
Papaya,01/02/2023,3650.0,3800.0,3700.0,24.749745,84.379225
Papaya,01/02/2023,3450.0,3600.0,3500.0,24.749745,84.379225
Papaya,01/02/2023,3300.0,3400.0,3350.0,24.749745,84.379225
Papaya,04/02/2023,3500.0,3600.0,3550.0,24.749745,84.379225
Papaya,04/02/2023,3400.0,3500.0,3450.0,24.749745,84.379225
Papaya,04/02/2023,3200.0,3300.0,3250.0,24.749745,84.379225
Papaya,07/02/2023,4000.0,5200.0,4100.0,24.749745,84.379225
Papaya,07/02/2023,3650.0,3800.0,3700.0,24.749745,84.379225
Papaya,07/02/2023,3450.0,3650.0,3500.0,24.749745,84.379225
Papaya,10/02/2023,4500.0,4600.0,4550.0,24.749745,84.379225
Papaya,10/02/2023,4250.0,4400.0,4300.0,24.749745,84.379225
Papaya,10/02/2023,4000.0,4100.0,4050.0,24.749745,84.379225
Papaya,13/02/2023,3950.0,4050.0,4000.0,24.749745,84.379225
Papaya,13/02/2023,3600.0,3700.0,3650.0,24.749745,84.379225
Papaya,13/02/2023,3500.0,3600.0,3550.0,24.749745,84.379225
Papaya,15/02/2023,4550.0,4650.0,4600.0,24.749745,84.379225
Papaya,15/02/2023,4250.0,4350.0,4300.0,24.749745,84.379225
Papaya,15/02/2023,4000.0,4100.0,4050.0,24.749745,84.379225
Papaya,19/02/2023,4500.0,4550.0,4550.0,24.749745,84.379225
Papaya,19/02/2023,4250.0,4300.0,4250.0,24.749745,84.379225
Papaya,19/02/2023,4000.0,4050.0,4050.0,24.749745,84.379225
Papaya,22/02/2023,4250.0,4350.0,4300.0,24.749745,84.379225
Papaya,26/02/2023,4000.0,4450.0,4200.0,24.749745,84.379225
Papaya,03/03/2023,5500.0,5600.0,5550.0,24.749745,84.379225
Papaya,03/03/2023,4650.0,4750.0,4700.0,24.749745,84.379225
Papaya,03/03/2023,4250.0,4350.0,4300.0,24.749745,84.379225
Papaya,06/03/2023,5000.0,5600.0,5550.0,24.749745,84.379225
Papaya,10/03/2023,5500.0,5600.0,5550.0,24.749745,84.379225
Papaya,10/03/2023,4850.0,4950.0,4900.0,24.749745,84.379225
Papaya,10/03/2023,4450.0,4550.0,4500.0,24.749745,84.379225
Papaya,18/03/2023,5000.0,5100.0,5050.0,24.749745,84.379225
Papaya,25/03/2023,4800.0,5000.0,4850.0,24.749745,84.379225
Papaya,25/03/2023,4750.0,4850.0,4800.0,24.749745,84.379225
Papaya,30/03/2023,4850.0,5000.0,4950.0,24.749745,84.379225
Papaya,30/03/2023,5500.0,5600.0,5550.0,24.749745,84.379225
Papaya,02/04/2023,4850.0,4950.0,4900.0,24.749745,84.379225
Papaya,02/04/2023,4000.0,4100.0,4050.0,24.749745,84.379225
Papaya,06/04/2023,4500.0,4650.0,4550.0,24.749745,84.379225
Papaya,10/04/2023,5850.0,5950.0,5900.0,24.749745,84.379225
Papaya,10/04/2023,4000.0,4100.0,4050.0,24.749745,84.379225
Papaya,14/04/2023,4550.0,4650.0,4600.0,24.749745,84.379225
Papaya,19/04/2023,5000.0,5100.0,5050.0,24.749745,84.379225
Papaya,19/04/2023,4500.0,4600.0,4550.0,24.749745,84.379225
Papaya,23/04/2023,5350.0,5450.0,5400.0,24.749745,84.379225
Papaya,23/04/2023,5050.0,5150.0,5100.0,24.749745,84.379225
Papaya,25/04/2023,4500.0,4600.0,4550.0,24.749745,84.379225
Papaya,25/04/2023,4000.0,4100.0,4050.0,24.749745,84.379225
Papaya,30/04/2023,4650.0,4750.0,4700.0,24.749745,84.379225
Papaya,04/05/2023,5000.0,5100.0,5050.0,24.749745,84.379225
Papaya,08/05/2023,4550.0,4650.0,4600.0,24.749745,84.379225
Papaya,17/05/2023,5000.0,5100.0,5050.0,24.749745,84.379225
Papaya,25/05/2023,4500.0,4600.0,4550.0,24.749745,84.379225
Papaya,06/01/2023,2200.0,2400.0,2300.0,25.239305,86.974522
Papaya,06/01/2023,1900.0,2100.0,2000.0,25.239305,86.974522
Papaya,06/01/2023,1600.0,1800.0,1700.0,25.239305,86.974522
Papaya,13/01/2023,2500.0,2800.0,2600.0,25.239305,86.974522
Papaya,13/01/2023,2200.0,2400.0,2300.0,25.239305,86.974522
Papaya,13/01/2023,1900.0,2100.0,2000.0,25.239305,86.974522
Papaya,25/04/2023,3500.0,3800.0,3700.0,25.239305,86.974522
Papaya,25/04/2023,3300.0,3450.0,3400.0,25.239305,86.974522
Papaya,25/04/2023,3100.0,3300.0,3200.0,25.239305,86.974522
Papaya,17/05/2023,3800.0,4000.0,3900.0,25.239305,86.974522
Papaya,17/05/2023,3500.0,3700.0,3600.0,25.239305,86.974522
Papaya,17/05/2023,3200.0,3400.0,3300.0,25.239305,86.974522
Papaya,28/05/2023,3600.0,3800.0,3700.0,25.239305,86.974522
Papaya,28/05/2023,3300.0,3500.0,3400.0,25.239305,86.974522
Papaya,28/05/2023,3000.0,3200.0,3100.0,25.239305,86.974522
