"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Gujarat","Morbi","Vankaner","Jute","Jute","08/04/2023","2350","2625","2450","2023-11-05"
"Maharashtra","Jalana","Jalana","Jute","Other","23/06/2023","7500","7500","7500","2023-11-05"
"Maharashtra","Jalana","Jalana","Jute","Other","04/07/2023","8001","8001","8001","2023-11-05"
"Maharashtra","Jalana","Jalana","Jute","Other","15/07/2023","6800","6800","6800","2023-11-05"
"Maharashtra","Nashik","Devala","Jute","Other","20/06/2023","7460","7460","7460","2023-11-05"
"Maharashtra","Nashik","Devala","Jute","Other","23/06/2023","7290","7290","7290","2023-11-05"
"Maharashtra","Nashik","Devala","Jute","Other","25/08/2023","5600","5600","5600","2023-11-05"
"Odisha","Keonjhar","Anandapur","Jute","Jute","09/06/2023","3180","3220","3200","2023-11-05"
"Odisha","Keonjhar","Anandapur","Jute","Jute","10/06/2023","3190","3210","3200","2023-11-05"
"Odisha","Keonjhar","Anandapur","Jute","Jute","11/06/2023","3190","3210","3200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","02/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","03/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","04/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","05/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","06/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","07/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","09/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","10/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","11/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","12/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","13/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","14/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","16/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","17/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","18/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","19/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","20/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","21/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","23/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","24/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","25/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","26/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","27/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","30/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","31/01/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","01/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","02/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","03/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","04/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","06/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","07/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","08/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","09/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","10/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","11/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","13/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","14/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","15/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","16/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","17/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","20/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","21/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","22/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","23/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","24/02/2023","5100","5200","5200","2023-11-05"
"West Bengal","Burdwan","Kalna","Jute","TD-5","25/02/2023","5100","5200","5200","2023-11-05"
