"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","01/01/2023","2000","3000","2500","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","02/01/2023","2000","3500","3000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","03/01/2023","2500","3000","2700","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","04/01/2023","2000","3000","2500","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","05/01/2023","2500","4000","3000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","07/01/2023","3000","4000","3500","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","08/01/2023","3000","4500","4000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","09/01/2023","3500","4500","4000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","10/01/2023","3500","4500","4000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","11/01/2023","3500","4500","4000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","12/01/2023","4000","6500","5000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","13/01/2023","5000","7500","6000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","16/01/2023","6500","6500","6500","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","18/01/2023","6000","6000","6000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","21/01/2023","6000","7000","6500","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","23/01/2023","6000","6000","6000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","24/01/2023","7000","7000","7000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","25/01/2023","7500","7500","7500","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","26/01/2023","6000","7500","7000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","27/01/2023","7000","7000","7000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","28/01/2023","7000","7000","7000","2023-11-05"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","29/01/2023","7000","7000","7000","2023-11-05"
