"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Andaman and Nicobar","Nicobar","Car Nicobar","Sweet Potato","Other","02/06/2023","11000","12000","12000","2023-11-29"
"Andaman and Nicobar","Nicobar","Car Nicobar","Sweet Potato","Other","05/06/2023","11000","12000","12000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","05/01/2023","4000","8000","6000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","09/01/2023","4000","8000","6000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","18/01/2023","3000","6000","4000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","25/01/2023","4000","8000","6000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","02/02/2023","4000","8000","6000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","03/03/2023","6000","11000","8000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","13/03/2023","4000","8000","6000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","31/03/2023","4000","7000","5000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","03/04/2023","4000","7000","5000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","06/04/2023","4000","7000","5000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","15/04/2023","4000","7000","5000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","24/04/2023","4000","8000","6000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","26/04/2023","4000","8000","6000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","01/05/2023","4000","8000","6000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","10/05/2023","4000","8000","6000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","18/05/2023","4000","8000","6000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","06/06/2023","4000","8000","6000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","12/06/2023","4000","8000","6000","2023-11-29"
"Andaman and Nicobar","South Andaman","Port Blair","Sweet Potato","Other","19/10/2023","4000","8000","6000","2023-11-29"
"Bihar","Kishanganj","Bahadurganj","Sweet Potato","Hosur Green","01/02/2023","2000","2200","2100","2023-11-29"
"Chattisgarh","Durg","Durg","Sweet Potato","Sweet Potato","01/01/2023","1800","2200","2000","2023-11-29"
"Chattisgarh","Durg","Durg","Sweet Potato","Sweet Potato","03/01/2023","2000","2200","2100","2023-11-29"
"Chattisgarh","Durg","Durg","Sweet Potato","Sweet Potato","04/01/2023","2200","2600","2400","2023-11-29"
