"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Andaman and Nicobar","Nicobar","Car Nicobar","Elephant Yam (Suran)","Other","06/01/2023","11000","12000","11000","2023-11-29"
"Andaman and Nicobar","Nicobar","Car Nicobar","Elephant Yam (Suran)","Other","09/01/2023","11000","12000","11000","2023-11-29"
"Andaman and Nicobar","Nicobar","Car Nicobar","Elephant Yam (Suran)","Other","13/01/2023","11000","12000","11000","2023-11-29"
"Andaman and Nicobar","Nicobar","Car Nicobar","Elephant Yam (Suran)","Other","20/01/2023","11000","12000","11000","2023-11-29"
"Andaman and Nicobar","Nicobar","Car Nicobar","Elephant Yam (Suran)","Other","23/01/2023","11000","12000","11000","2023-11-29"
"Andaman and Nicobar","Nicobar","Car Nicobar","Elephant Yam (Suran)","Other","27/01/2023","11000","12000","11000","2023-11-29"
"Andaman and Nicobar","Nicobar","Car Nicobar","Elephant Yam (Suran)","Other","30/01/2023","11000","12000","11000","2023-11-29"
"Andaman and Nicobar","Nicobar","Car Nicobar","Elephant Yam (Suran)","Other","03/02/2023","11000","12000","11000","2023-11-29"
"Andaman and Nicobar","Nicobar","Car Nicobar","Elephant Yam (Suran)","Other","06/02/2023","11000","12000","11000","2023-11-29"
"Andaman and Nicobar","Nicobar","Car Nicobar","Elephant Yam (Suran)","Other","10/02/2023","11000","12000","11000","2023-11-29"
"Andaman and Nicobar","Nicobar","Car Nicobar","Elephant Yam (Suran)","Other","13/02/2023","11000","12000","11000","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","02/01/2023","1800","2200","2100","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","03/01/2023","1800","2000","1900","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","04/01/2023","1800","2000","1900","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","06/01/2023","1700","2000","1900","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","07/01/2023","1900","2200","2100","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","09/01/2023","1800","2200","2100","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","11/01/2023","2000","2300","2200","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","12/01/2023","2000","2500","2300","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","13/01/2023","2000","2500","2350","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","18/01/2023","2200","2800","2650","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","20/01/2023","2200","2600","2400","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","23/01/2023","2300","2800","2600","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","24/01/2023","2300","2800","2650","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","25/01/2023","2500","3000","2850","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","27/01/2023","2500","3000","2750","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","28/01/2023","2500","3000","2800","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","30/01/2023","2500","2800","2650","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","31/01/2023","2200","2800","2550","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","01/02/2023","2500","2800","2650","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","03/02/2023","2500","2700","2600","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","04/02/2023","2200","2800","2650","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","06/02/2023","2600","3200","2900","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","07/02/2023","2500","3000","2850","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","08/02/2023","2600","3000","2800","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","09/02/2023","2700","3000","2900","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","11/02/2023","2500","3000","2800","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","13/02/2023","2500","3000","2700","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","14/02/2023","2500","3000","2650","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","16/02/2023","2500","3000","2850","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","17/02/2023","2500","2800","2700","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","20/02/2023","2800","3200","3000","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","21/02/2023","2700","3000","2900","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","22/02/2023","2800","3200","3100","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","23/02/2023","3000","3200","3100","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","25/02/2023","2800","3200","3100","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","27/02/2023","3000","3200","3100","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","28/02/2023","2800","3200","3100","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","01/03/2023","2700","3200","3050","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","02/03/2023","2800","3200","3100","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","04/03/2023","2800","3200","3100","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","06/03/2023","2800","3200","3000","2023-11-29"
"Gujarat","Ahmedabad","Ahmedabad","Elephant Yam (Suran)","Other","07/03/2023","2800","3200","3100","2023-11-29"
