"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Chattisgarh","Koria","Manendragarh","Black Gram Dal (Urd Dal)","Black Gram Dal","20/03/2023","8000","8000","8000","2023-11-05"
"Chattisgarh","Koria","Manendragarh","Black Gram Dal (Urd Dal)","Black Gram Dal","21/03/2023","7000","7000","7000","2023-11-05"
"Chattisgarh","Sukma","Doranpal","Black Gram Dal (Urd Dal)","Black Gram Dal","30/08/2023","4500","4500","4500","2023-11-05"
"Gujarat","Junagarh","Junagadh","Black Gram Dal (Urd Dal)","Black Gram Dal","13/09/2023","8000","9115","8950","2023-11-05"
"Gujarat","Junagarh","Junagadh","Black Gram Dal (Urd Dal)","Black Gram Dal","10/10/2023","7250","9040","8250","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","25/09/2023","7500","9055","8500","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","28/09/2023","4000","8500","7500","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","30/09/2023","7000","9500","8500","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","03/10/2023","4000","5000","4500","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","04/10/2023","4000","8775","6000","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","06/10/2023","5000","9000","7500","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","09/10/2023","4500","7500","7000","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","10/10/2023","4500","8500","6000","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","11/10/2023","5000","7500","6000","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","12/10/2023","5000","7500","6500","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","13/10/2023","4500","6500","5500","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","14/10/2023","4500","6000","5500","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","16/10/2023","5000","6750","6000","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","17/10/2023","5000","6750","6000","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","18/10/2023","5500","7555","6500","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","19/10/2023","5000","9055","6000","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","20/10/2023","6000","9250","7000","2023-11-05"
"Gujarat","Patan","Sami","Black Gram Dal (Urd Dal)","Black Gram Dal","21/10/2023","4500","8000","7000","2023-11-05"
