"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","05/01/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","09/01/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","18/01/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","25/01/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","02/02/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","03/03/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","13/03/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","28/03/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","31/03/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","03/04/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","06/04/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","15/04/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","20/04/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","24/04/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","26/04/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","01/05/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","10/05/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","18/05/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","25/05/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","06/06/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","12/06/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","17/08/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","08/09/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","19/10/2023","1500","3000","2000","2023-11-05"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","02/11/2023","1500","3000","2000","2023-11-05"
"Goa","North Goa","Mapusa","Coconut","Coconut","01/01/2023","500","1500","1000","2023-11-05"
"Goa","North Goa","Mapusa","Coconut","Coconut","02/01/2023","500","1500","1000","2023-11-05"
"Goa","North Goa","Mapusa","Coconut","Coconut","03/01/2023","500","1500","1000","2023-11-05"
"Goa","North Goa","Mapusa","Coconut","Coconut","04/01/2023","500","1500","1000","2023-11-05"
"Goa","North Goa","Mapusa","Coconut","Coconut","05/01/2023","500","1500","1000","2023-11-05"
"Goa","North Goa","Mapusa","Coconut","Coconut","06/01/2023","500","1500","1000","2023-11-05"
"Goa","North Goa","Mapusa","Coconut","Coconut","07/01/2023","500","1500","1000","2023-11-05"
"Goa","North Goa","Mapusa","Coconut","Coconut","08/01/2023","500","1500","1000","2023-11-05"
"Goa","North Goa","Mapusa","Coconut","Coconut","09/01/2023","500","1500","1000","2023-11-05"
"Goa","North Goa","Mapusa","Coconut","Coconut","10/01/2023","500","1500","1000","2023-11-05"
"Goa","North Goa","Mapusa","Coconut","Coconut","11/01/2023","500","1500","1000","2023-11-05"
"Goa","North Goa","Mapusa","Coconut","Coconut","12/01/2023","500","1500","1000","2023-11-05"
