"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Kerala","Idukki","Kattappana","Coffee","Other","22/05/2023","21000","22000","22000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","24/05/2023","21500","22000","22000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","26/05/2023","1000","2000","1500","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","09/06/2023","22000","22000","22000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","10/06/2023","22000","22800","22000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","12/06/2023","22000","23100","22500","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","13/06/2023","22000","23100","22600","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","17/06/2023","22000","23500","23000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","20/06/2023","22000","23500","23000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","22/06/2023","22000","23000","22800","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","01/07/2023","22000","23200","22500","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","03/07/2023","22000","22800","22000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","04/07/2023","22000","23200","22600","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","05/07/2023","22000","23100","22800","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","06/07/2023","22000","23100","22500","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","17/07/2023","22500","23000","23000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","18/07/2023","23000","23000","23000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","19/07/2023","23000","23000","23000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","20/07/2023","23000","23000","23000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","01/08/2023","21500","23000","22500","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","03/08/2023","21000","23000","22500","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","15/08/2023","22000","23400","23000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","18/08/2023","22000","23500","23000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","25/08/2023","22000","23400","23000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","03/11/2023","22000","23500","23000","2023-11-05"
"Kerala","Idukki","Kattappana","Coffee","Other","04/11/2023","23000","23500","23500","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","02/01/2023","15900","16000","16000","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","03/01/2023","15900","16000","16000","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","04/01/2023","15600","15700","15700","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","07/01/2023","15900","16000","16000","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","08/01/2023","15700","15800","15800","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","09/01/2023","15900","16000","16000","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","10/01/2023","15900","16000","16000","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","11/01/2023","15900","16000","16000","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","12/01/2023","15900","16000","16000","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","13/01/2023","15900","16000","16000","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","14/01/2023","15900","16000","16000","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","16/01/2023","16100","16200","16200","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","17/01/2023","16100","16200","16200","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","18/01/2023","16000","16100","16100","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","19/01/2023","16100","16200","16200","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","20/01/2023","16200","16300","16300","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","21/01/2023","16200","16300","16300","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","22/01/2023","16200","16300","16300","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","23/01/2023","16200","16300","16300","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","24/01/2023","16100","16200","16200","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","25/01/2023","16100","16200","16200","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","26/01/2023","16200","16300","16300","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","27/01/2023","16200","16300","16300","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","28/01/2023","16300","16400","16400","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","29/01/2023","16300","16400","16400","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","30/01/2023","16700","16800","16800","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","31/01/2023","16700","16800","16800","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","01/02/2023","17100","17200","17200","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","02/02/2023","17200","17300","17300","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","03/02/2023","17600","17700","17700","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","04/02/2023","17600","17700","17700","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","06/02/2023","17700","17800","17800","2023-11-05"
"Kerala","Wayanad","Kalpetta","Coffee","Other","07/02/2023","17700","17800","17800","2023-11-05"
