"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Gujarat","Amreli","Rajula","Beans","Local","01/02/2023","5600","5600","5600","2023-11-05"
"Gujarat","Amreli","Rajula","Beans","Local","01/03/2023","8500","8500","8500","2023-11-05"
"Gujarat","Amreli","Rajula","Beans","Local","11/03/2023","10000","10000","10000","2023-11-05"
"Gujarat","Amreli","Rajula","Beans","Local","10/04/2023","5505","5505","5505","2023-11-05"
"Gujarat","Amreli","Rajula","Beans","Local","24/04/2023","8505","8505","8505","2023-11-05"
"Gujarat","Amreli","Rajula","Beans","Local","29/05/2023","5305","5305","5305","2023-11-05"
"Gujarat","Amreli","Rajula","Beans","Local","09/06/2023","9505","9505","9505","2023-11-05"
"Gujarat","Amreli","Rajula","Beans","Local","20/10/2023","10010","10010","10010","2023-11-05"
"Gujarat","Anand","Tarapur","Beans","Other","01/11/2023","3125","5045","4297","2023-11-05"
"Gujarat","Dahod","Dahod","Beans","Beans (Whole)","28/02/2023","7200","7500","7350","2023-11-05"
"Gujarat","Jamnagar","Jam Jodhpur","Beans","Beans (Whole)","05/06/2023","9000","11000","10000","2023-11-05"
"Gujarat","Jamnagar","Jam Jodhpur","Beans","Beans (Whole)","06/06/2023","11005","12505","11755","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","19/04/2023","1900","4500","3250","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","21/04/2023","4025","5025","4850","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","04/05/2023","5350","8450","7850","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","05/05/2023","6025","6725","6520","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","06/05/2023","1875","2850","2550","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","13/05/2023","6375","7050","6850","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","19/05/2023","8900","9500","9325","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","20/05/2023","7800","8750","8300","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","29/05/2023","6000","8850","7550","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","30/05/2023","7500","8850","8250","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","01/06/2023","7500","9000","8350","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","02/06/2023","7500","9025","8350","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","03/06/2023","7500","9500","8650","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","05/06/2023","7500","9575","8650","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","06/06/2023","7500","10850","9250","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","07/06/2023","7500","8250","7980","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","08/06/2023","7500","10725","9500","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","09/06/2023","7500","10725","9250","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","19/06/2023","7500","10900","9780","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","21/06/2023","7500","10800","9850","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","26/06/2023","7500","12000","10150","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","27/06/2023","7500","11450","9850","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","28/06/2023","7500","9000","8450","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","29/06/2023","7500","13725","11735","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","06/07/2023","6500","12000","9850","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","12/07/2023","7500","13025","11560","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","14/07/2023","7500","8300","8150","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","17/07/2023","7500","10000","9650","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","19/07/2023","5000","7000","6350","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","28/07/2023","7500","10500","9150","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","18/08/2023","7500","8200","8080","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","29/08/2023","7500","12525","11200","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","01/09/2023","4750","5000","4975","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","14/09/2023","6250","12775","10350","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","21/09/2023","10000","13050","12350","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","22/09/2023","10000","13775","12350","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","26/09/2023","7500","10950","9650","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","28/09/2023","10000","17450","14250","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","29/09/2023","7000","11500","10050","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","30/09/2023","5000","6500","6250","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","03/10/2023","5000","6000","5850","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","04/10/2023","7500","13700","12250","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","05/10/2023","5000","6000","5750","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","07/10/2023","5000","5900","5650","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","10/10/2023","7000","12250","9950","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","11/10/2023","7000","12250","10350","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","13/10/2023","5000","7025","6625","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","17/10/2023","7500","8000","7950","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","18/10/2023","7500","12025","10250","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","21/10/2023","7500","9950","8980","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","25/10/2023","7500","12575","11250","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","26/10/2023","7500","13550","10750","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","28/10/2023","5000","6700","6050","2023-11-05"
"Gujarat","Jamnagar","Jamnagar","Beans","Other","30/10/2023","7500","13700","11250","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","02/01/2023","5000","6380","5690","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","10/01/2023","5375","6505","5800","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","18/01/2023","4250","5000","4625","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","21/01/2023","3250","4480","3865","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","23/01/2023","5075","6255","5665","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","24/01/2023","5125","6755","5940","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","30/01/2023","4750","5980","5365","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","03/02/2023","6775","8005","7390","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","06/02/2023","5250","7180","6215","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","10/02/2023","5000","6980","5990","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","17/02/2023","7000","9130","8065","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","28/02/2023","7000","9500","8250","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","01/03/2023","5500","7500","6500","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","02/03/2023","4000","5000","4500","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","16/03/2023","6500","8280","7390","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","20/03/2023","6500","8380","7440","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","04/04/2023","4375","5455","4915","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","06/04/2023","5500","8780","7140","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","07/04/2023","3750","5000","4375","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","10/04/2023","7000","9000","8000","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","11/04/2023","5500","7480","6490","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","20/04/2023","5000","6830","5915","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","06/05/2023","4500","5500","5000","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","10/05/2023","6750","8480","7615","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","17/05/2023","5125","6105","5615","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","01/06/2023","6500","8500","7500","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","09/06/2023","9000","12000","10500","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","10/06/2023","4750","6000","5375","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","23/06/2023","9750","13000","11375","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","26/06/2023","6000","7780","6890","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","07/07/2023","8250","9730","8990","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","10/07/2023","8375","9605","8990","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","13/07/2023","8250","9780","9015","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","17/07/2023","8280","10030","9155","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","24/07/2023","8275","9655","8965","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","02/08/2023","7875","9655","8765","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","03/08/2023","9000","10880","9940","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","07/08/2023","8625","11355","9990","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","25/08/2023","9725","13105","11415","2023-11-05"
"Gujarat","Junagarh","Visavadar","Beans","Other","04/11/2023","5250","6730","5990","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","05/01/2023","6000","6800","6400","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","19/01/2023","4475","5500","4985","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","14/02/2023","6650","6650","6650","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","18/03/2023","6600","6600","6600","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","25/03/2023","4000","6250","5125","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","05/04/2023","7475","7475","7475","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","08/04/2023","6500","6500","6500","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","15/04/2023","4750","7050","5900","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","17/04/2023","6175","6175","6175","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","21/04/2023","6725","6725","6725","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","25/04/2023","5875","6750","6310","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","04/05/2023","4025","6325","5175","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","06/05/2023","7175","7175","7175","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","08/05/2023","6250","7375","6815","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","11/05/2023","8325","8350","8340","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","12/05/2023","7900","8375","8140","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","13/05/2023","7875","8125","8000","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","15/05/2023","7975","8250","8110","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","16/05/2023","7825","8325","8075","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","17/05/2023","7125","8275","7250","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","18/05/2023","8075","8425","8250","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","19/05/2023","7875","8375","8125","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","20/05/2023","7850","8375","8115","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","22/05/2023","2000","3000","2500","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","23/05/2023","8250","8900","8575","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","24/05/2023","8225","8875","8550","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","25/05/2023","8625","8850","8740","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","26/05/2023","7750","8900","8325","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","27/05/2023","8150","8950","8550","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","29/05/2023","8250","8950","8600","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","30/05/2023","8200","8825","8515","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","31/05/2023","8500","9000","8750","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","01/06/2023","7900","8975","8440","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","02/06/2023","9125","9600","9365","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","03/06/2023","9000","9875","9440","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","05/06/2023","9625","10100","9865","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","06/06/2023","9700","10625","10165","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","07/06/2023","9300","10925","10115","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","08/06/2023","9500","11025","10265","2023-11-05"
"Gujarat","Porbandar","Porbandar","Beans","Beans (Whole)","09/06/2023","9500","12000","10750","2023-11-05"
