"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","02/03/2023","6000","6100","6050","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","09/03/2023","5650","5750","5700","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","17/03/2023","5650","5750","5700","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","24/03/2023","5450","5550","5500","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","25/03/2023","5450","5600","5500","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","01/04/2023","5450","5550","5500","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","05/04/2023","5560","5650","5600","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","09/04/2023","5650","5750","5700","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","13/04/2023","5550","5650","5600","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","18/04/2023","5450","5550","5500","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","24/04/2023","5650","5750","5700","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","29/04/2023","5650","5750","5700","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","03/05/2023","5750","5850","5800","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","07/05/2023","5750","5850","5800","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Lentil (Masur)(Whole)","Other","16/05/2023","5850","5950","5900","2023-11-05"
"Bihar","Buxar","Brahmpur","Lentil (Masur)(Whole)","Masoor Gola","13/09/2023","7500","8200","8000","2023-11-05"
"Bihar","Buxar","Brahmpur","Lentil (Masur)(Whole)","Masoor Gola","24/09/2023","8000","9000","8500","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","02/01/2023","5350","5350","5350","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","04/01/2023","5000","5450","5450","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","05/01/2023","4850","4850","4850","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","07/01/2023","5250","5514","5400","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","09/01/2023","5425","5515","5500","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","10/01/2023","5250","5530","5481","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","11/01/2023","5100","5551","5455","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","12/01/2023","5191","5581","5555","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","13/01/2023","5400","5556","5491","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","16/01/2023","4800","5501","5340","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","17/01/2023","5000","5465","5465","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","19/01/2023","4300","5521","5401","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","20/01/2023","5360","5520","5470","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","21/01/2023","5100","5499","5300","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","23/01/2023","4500","5325","5300","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","24/01/2023","5050","5400","5341","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","25/01/2023","5261","5400","5376","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","01/02/2023","4701","5350","5350","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","02/02/2023","5190","5351","5314","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","03/02/2023","5000","5000","5000","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","04/02/2023","5000","5350","5200","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","06/02/2023","4346","5250","5101","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","07/02/2023","4346","5250","5101","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","08/02/2023","5221","5236","5221","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","09/02/2023","4450","5251","5100","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","10/02/2023","4801","5200","5100","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","11/02/2023","4151","4535","4535","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","13/02/2023","5200","5200","5200","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","16/02/2023","3501","5251","4800","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","17/02/2023","4600","5300","4976","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","20/02/2023","5152","5250","5250","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","23/02/2023","4900","5000","5000","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","24/02/2023","5000","5201","5112","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","25/02/2023","5200","5370","5370","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","27/02/2023","5200","5200","5200","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","28/02/2023","5151","5321","5200","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","02/03/2023","5337","5337","5337","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","03/03/2023","5100","5241","5202","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","04/03/2023","5100","5301","5300","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","06/03/2023","4812","5325","5325","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","13/03/2023","4400","5300","5300","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","14/03/2023","5200","5533","5251","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","15/03/2023","5100","5353","5281","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","16/03/2023","5000","5250","5200","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","20/03/2023","5236","5311","5246","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","21/03/2023","5100","5351","5312","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","22/03/2023","5176","5360","5352","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","24/03/2023","5000","5701","5216","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","25/03/2023","5100","5380","5350","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","27/03/2023","5350","5405","5401","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","28/03/2023","5011","5395","5375","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","31/03/2023","5250","5300","5300","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","03/04/2023","5200","5325","5300","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","05/04/2023","5100","5351","5300","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","06/04/2023","5150","5351","5200","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","08/04/2023","5000","5300","5200","2023-11-05"
"Chattisgarh","Balodabazar","Bhatapara","Lentil (Masur)(Whole)","Masoor Gola","11/04/2023","5150","5225","5225","2023-11-05"
