"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","13/01/2023","10000","11000","10500","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","20/01/2023","9000","15000","9000","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","23/01/2023","10000","15000","10500","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","24/01/2023","9000","14000","9000","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","25/01/2023","8000","12000","8250","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","27/01/2023","8000","12000","10500","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","28/01/2023","5000","8000","7000","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","30/01/2023","6000","10000","7000","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","31/01/2023","6500","7000","6750","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","01/02/2023","7000","9000","7250","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","03/02/2023","7000","8000","7500","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","06/02/2023","4000","11000","7300","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","11/02/2023","6000","8000","7000","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","13/02/2023","6000","8000","6500","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","14/02/2023","5000","8000","5250","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","16/02/2023","3500","6000","4850","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","20/02/2023","5000","6500","6250","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","21/02/2023","5000","8000","5000","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","22/02/2023","4500","5500","5000","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","23/02/2023","3500","7000","6000","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","25/02/2023","3500","5000","4650","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","27/02/2023","3500","6000","5000","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","28/02/2023","3500","4000","3750","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","01/03/2023","3000","4000","3450","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","02/03/2023","3000","5000","4000","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","04/03/2023","3500","6000","3850","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","06/03/2023","2000","6000","2900","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","07/03/2023","2000","6000","2800","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","09/03/2023","2500","5000","2800","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","10/03/2023","2000","4500","2900","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","13/03/2023","3000","5000","4200","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","29/03/2023","1000","3500","2350","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","31/03/2023","1200","4000","1700","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","01/04/2023","1200","4000","1900","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","03/04/2023","1600","4000","1950","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","06/04/2023","1500","4000","1900","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","08/04/2023","1600","4000","1900","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","10/04/2023","1800","4000","2100","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","11/04/2023","1800","4500","2050","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","12/04/2023","1500","4200","1950","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","13/04/2023","1500","3500","1900","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","15/04/2023","1000","4500","2850","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","17/04/2023","1500","5500","1950","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","18/04/2023","1800","4500","1950","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","19/04/2023","1800","5000","1950","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","20/04/2023","1200","5000","1900","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","21/04/2023","1000","5000","2150","2023-11-05"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","24/04/2023","1200","5000","2350","2023-11-05"
