"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Gujarat","Kachchh","Rapar","Mataki","Mataki (W)","03/11/2023","6000","NA","6000","2023-11-05"
"Gujarat","Patan","Siddhpur","Mataki","Mataki (W)","25/01/2023","8750","8750","8750","2023-11-05"
"Karnataka","Bagalkot","Bagalakot","Mataki","Mataki (W)","22/05/2023","5001","5001","5001","2023-11-05"
"Karnataka","Bagalkot","Bagalakot","Mataki","Mataki (W)","16/06/2023","5500","5500","5500","2023-11-05"
"Karnataka","Bagalkot","Bagalakot","Mataki","Mataki (W)","17/06/2023","5500","5500","5500","2023-11-05"
"Karnataka","Bagalkot","Bagalakot","Mataki","Mataki (W)","23/06/2023","5325","5325","5325","2023-11-05"
"Karnataka","Bagalkot","Bagalakot","Mataki","Mataki (W)","01/07/2023","4551","4551","4551","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","09/01/2023","12010","12010","12010","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","13/01/2023","2511","2511","2511","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","16/01/2023","2601","2601","2601","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","18/01/2023","10500","10500","10500","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","21/01/2023","10850","10850","10850","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","23/01/2023","7501","7501","7501","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","24/01/2023","10510","10510","10510","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","27/01/2023","9052","9052","9052","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","28/01/2023","10510","10510","10510","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","30/01/2023","10811","10811","10811","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","01/02/2023","10901","10901","10901","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","02/02/2023","10511","10511","10511","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","03/02/2023","10621","10621","10621","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","04/02/2023","9800","10751","9800","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","06/02/2023","9629","10611","10345","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","07/02/2023","10301","10301","10301","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","08/02/2023","10311","10311","10311","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","09/02/2023","10526","10526","10526","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","11/02/2023","10803","10851","10811","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","13/02/2023","10609","10891","10847","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","14/02/2023","10809","10819","10810","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","15/02/2023","10409","10409","10409","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","16/02/2023","1890","10820","7843","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","17/02/2023","10616","10846","10726","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","18/02/2023","4630","10804","10033","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","20/02/2023","10809","10809","10809","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","21/02/2023","1840","10869","9896","2023-11-05"
"Karnataka","Dharwad","Hubli (Amaragol)","Mataki","Mataki (W)","23/02/2023","9020","10701","9020","2023-11-05"
