"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","10/03/2023","5650","5750","5700","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","18/03/2023","5850","6000","5900","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","18/03/2023","5500","5600","5550","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","25/03/2023","6850","7000","6900","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","29/03/2023","8000","8100","8050","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","02/04/2023","6850","6950","6900","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","06/04/2023","7000","7300","7250","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","09/04/2023","7500","7650","7600","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","14/04/2023","7550","7700","7650","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","19/04/2023","12000","12559","12500","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","19/04/2023","10000","10100","10050","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","23/04/2023","11000","11500","11200","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","23/04/2023","10000","10600","10500","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","25/04/2023","7000","7100","7050","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","30/04/2023","7550","7650","7600","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","04/05/2023","8000","8100","8050","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","08/05/2023","8000","8150","8100","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","17/05/2023","8000","8100","8050","2023-11-05"
"Bihar","Aurangabad","Aurangabad","Orange","Darjeeling","25/05/2023","7500","8000","7850","2023-11-05"
"Bihar","Bhagalpur","Bhagalpur","Orange","Darjeeling","06/01/2023","3700","3900","3800","2023-11-05"
"Bihar","Bhagalpur","Bhagalpur","Orange","Darjeeling","06/01/2023","3500","3650","3600","2023-11-05"
"Bihar","Bhagalpur","Bhagalpur","Orange","Darjeeling","06/01/2023","3300","3450","3400","2023-11-05"
"Bihar","Bhagalpur","Bhagalpur","Orange","Darjeeling","13/01/2023","5600","5900","5800","2023-11-05"
"Bihar","Bhagalpur","Bhagalpur","Orange","Darjeeling","13/01/2023","5200","5500","5400","2023-11-05"
"Bihar","Bhagalpur","Bhagalpur","Orange","Darjeeling","13/01/2023","4800","5100","5000","2023-11-05"
"Bihar","Bhagalpur","Bhagalpur","Orange","Darjeeling","22/01/2023","5400","5600","5500","2023-11-05"
"Bihar","Bhagalpur","Bhagalpur","Orange","Darjeeling","22/01/2023","5000","5300","5200","2023-11-05"
"Bihar","Bhagalpur","Bhagalpur","Orange","Darjeeling","22/01/2023","4500","4900","4800","2023-11-05"
"Bihar","Bhagalpur","Bhagalpur","Orange","Darjeeling","03/04/2023","7800","8100","8000","2023-11-05"
"Bihar","Bhagalpur","Bhagalpur","Orange","Darjeeling","03/04/2023","7200","7400","7300","2023-11-05"
"Bihar","Bhagalpur","Bhagalpur","Orange","Darjeeling","03/04/2023","6800","7100","7000","2023-11-05"
"Bihar","Bhagalpur","Naugachiya","Orange","Darjeeling","05/01/2023","5000","5000","5000","2023-11-05"
"Bihar","Bhagalpur","Naugachiya","Orange","Darjeeling","05/01/2023","4500","4500","4500","2023-11-05"
"Bihar","Bhagalpur","Naugachiya","Orange","Darjeeling","05/01/2023","4000","4000","4000","2023-11-05"
"Bihar","Bhagalpur","Naugachiya","Orange","Darjeeling","07/01/2023","5000","5000","5000","2023-11-05"
